,Id,LotArea,FullBath,BedroomAbvGr,SalePrice
0,1,8450,2,3,208500
1,2,9600,2,3,181500
2,3,11250,2,3,223500
3,4,9550,1,3,140000
4,5,14260,2,4,250000
5,6,14115,1,1,143000
6,7,10084,2,3,307000
7,8,10382,2,3,200000
8,9,6120,2,2,129900
9,10,7420,1,2,118000
10,11,11200,1,3,129500
11,12,11924,3,4,345000
12,13,12968,1,2,144000
13,14,10652,2,3,279500
14,15,10920,1,2,157000
15,16,6120,1,2,132000
16,17,11241,1,2,149000
17,18,10791,2,2,90000
18,19,13695,1,3,159000
19,20,7560,1,3,139000
20,21,14215,3,4,325300
21,22,7449,1,3,139400
22,23,9742,2,3,230000
23,24,4224,1,3,129900
24,25,8246,1,3,154000
25,26,14230,2,3,256300
26,27,7200,1,3,134800
27,28,11478,2,3,306000
28,29,16321,1,2,207500
29,30,6324,1,1,68500
30,31,8500,1,3,40000
31,32,8544,1,3,149350
32,33,11049,2,3,179900
33,34,10552,1,4,165500
34,35,7313,2,2,277500
35,36,13418,3,4,309000
36,37,10859,1,3,145000
37,38,8532,1,3,153000
38,39,7922,1,3,109000
39,40,6040,2,2,82000
40,41,8658,2,3,160000
41,42,16905,1,2,170000
42,43,9180,1,2,144000
43,44,9200,1,3,130250
44,45,7945,1,3,141000
45,46,7658,2,2,319900
46,47,12822,1,1,239686
47,48,11096,2,3,249700
48,49,4456,2,2,113000
49,50,7742,1,3,127000
50,51,13869,2,3,177000
51,52,6240,1,3,114500
52,53,8472,1,2,110000
53,54,50271,0,0,385000
54,55,7134,1,3,130000
55,56,10175,2,3,180500
56,57,2645,2,3,172500
57,58,11645,2,3,196500
58,59,13682,3,3,438780
59,60,7200,1,2,124900
60,61,13072,1,3,158000
61,62,7200,1,3,101000
62,63,6442,2,2,202500
63,64,10300,2,3,140000
64,65,9375,2,3,219500
65,66,9591,2,4,317000
66,67,19900,2,3,180000
67,68,10665,2,3,226000
68,69,4608,1,2,80000
69,70,15593,2,3,225000
70,71,13651,2,3,244000
71,72,7599,1,2,129500
72,73,10141,2,3,185000
73,74,10200,1,3,144900
74,75,5790,2,3,107400
75,76,1596,1,2,91000
76,77,8475,1,2,135750
77,78,8635,1,2,127000
78,79,10778,2,4,136500
79,80,10440,1,2,110000
80,81,13000,2,4,193500
81,82,4500,2,2,153500
82,83,10206,2,3,245000
83,84,8892,1,3,126500
84,85,8530,2,3,168500
85,86,16059,2,4,260000
86,87,11911,2,3,174000
87,88,3951,2,2,164500
88,89,8470,1,2,85000
89,90,8070,1,3,123600
90,91,7200,1,2,109900
91,92,8500,1,2,98600
92,93,13360,1,2,163500
93,94,7200,2,4,133900
94,95,9337,2,3,204750
95,96,9765,2,3,185000
96,97,10264,2,3,214000
97,98,10921,1,3,94750
98,99,10625,1,2,83000
99,100,9320,1,3,128950
100,101,10603,2,3,205000
101,102,9206,2,3,178000
102,103,7018,2,4,118964
103,104,10402,2,3,198900
104,105,7758,1,4,169500
105,106,9375,2,3,250000
106,107,10800,1,2,100000
107,108,6000,1,2,115000
108,109,8500,2,3,115000
109,110,11751,2,3,190000
110,111,9525,2,4,136900
111,112,7750,2,3,180000
112,113,9965,2,4,383970
113,114,21000,2,3,217000
114,115,7259,2,3,259500
115,116,3230,2,2,176000
116,117,11616,1,3,139000
117,118,8536,1,2,155000
118,119,12376,3,5,320000
119,120,8461,2,3,163990
120,121,21453,1,1,180000
121,122,6060,1,3,100000
122,123,9464,1,3,136000
123,124,7892,2,2,153900
124,125,17043,2,3,181000
125,126,6780,1,2,84500
126,127,4928,2,2,128000
127,128,4388,1,3,87000
128,129,7590,1,3,155000
129,130,8973,1,3,150000
130,131,14200,2,4,226000
131,132,12224,2,3,244000
132,133,7388,1,3,150750
133,134,6853,2,2,220000
134,135,10335,2,3,180000
135,136,10400,2,3,174000
136,137,10355,2,3,143000
137,138,11070,3,5,171000
138,139,9066,2,3,230000
139,140,15426,2,3,231500
140,141,10500,1,3,115000
141,142,11645,2,3,260000
142,143,8520,2,4,166000
143,144,10335,2,3,204000
144,145,9100,2,6,125000
145,146,2522,2,3,130000
146,147,6120,1,2,105000
147,148,9505,2,3,222500
148,149,7500,1,3,141000
149,150,6240,1,3,115000
150,151,10356,1,3,122000
151,152,13891,2,2,372402
152,153,14803,2,4,190000
153,154,13500,1,1,235000
154,155,11340,1,4,125000
155,156,9600,1,2,79000
156,157,7200,1,2,109500
157,158,12003,2,4,269500
158,159,12552,2,3,254900
159,160,19378,2,4,320000
160,161,11120,2,3,162500
161,162,13688,2,3,412500
162,163,12182,2,3,220000
163,164,5500,1,1,103200
164,165,5400,2,3,152000
165,166,10106,2,4,127500
166,167,10708,1,2,190000
167,168,10562,1,3,325624
168,169,8244,2,3,183500
169,170,16669,2,2,228000
170,171,12358,1,2,128500
171,172,31770,1,3,215000
172,173,5306,2,2,239000
173,174,10197,1,3,163000
174,175,12416,2,3,184000
175,176,12615,2,4,243000
176,177,10029,2,4,211000
177,178,13650,2,4,172500
178,179,17423,2,1,501837
179,180,8520,1,2,100000
180,181,2117,2,3,177000
181,182,7588,1,4,200100
182,183,9060,1,3,120000
183,184,11426,2,3,200000
184,185,7438,1,3,127000
185,186,22950,2,4,475000
186,187,9947,2,3,173000
187,188,10410,2,3,135000
188,189,7018,0,2,153337
189,190,4923,1,0,286000
190,191,10570,2,3,315000
191,192,7472,1,4,184000
192,193,9017,2,3,192000
193,194,2522,2,3,130000
194,195,7180,1,3,127000
195,196,2280,2,3,148500
196,197,9416,2,3,311872
197,198,25419,2,4,235000
198,199,5520,1,5,104000
199,200,9591,2,3,274900
200,201,8546,2,2,140000
201,202,10125,2,3,171500
202,203,7000,2,2,112000
203,204,4438,1,1,149000
204,205,3500,1,2,110000
205,206,11851,2,3,180500
206,207,13673,1,3,143900
207,208,12493,1,3,141000
208,209,14364,2,3,277000
209,210,8250,1,3,145000
210,211,5604,1,2,98000
211,212,10420,2,3,186000
212,213,8640,2,3,252678
213,214,13568,1,3,156000
214,215,10900,1,3,161750
215,216,10011,1,2,134450
216,217,8450,2,3,210000
217,218,9906,1,3,107000
218,219,15660,1,3,311500
219,220,3010,2,2,167240
220,221,8990,2,2,204900
221,222,8068,2,4,200000
222,223,11475,2,3,179900
223,224,10500,1,2,97000
224,225,13472,2,3,386250
225,226,1680,2,3,112000
226,227,9950,2,4,290000
227,228,1869,1,2,106000
228,229,8521,1,3,125000
229,230,3182,2,2,192500
230,231,8760,1,3,148000
231,232,15138,2,4,403000
232,233,1680,1,2,94500
233,234,10650,1,3,128200
234,235,7851,2,4,216500
235,236,1680,1,2,89500
236,237,8773,2,3,185500
237,238,9453,2,3,194500
238,239,12030,2,3,318000
239,240,8741,1,3,113000
240,241,9000,2,3,262500
241,242,3880,1,2,110500
242,243,5000,1,3,79000
243,244,10762,1,3,120000
244,245,8880,2,3,205000
245,246,10400,2,3,241500
246,247,9142,2,4,137000
247,248,11310,1,2,140000
248,249,11317,2,3,180000
249,250,159000,2,4,277000
250,251,5350,1,3,76500
251,252,4750,2,2,235000
252,253,8366,2,3,173000
253,254,9350,2,3,158000
254,255,8400,1,3,145000
255,256,8738,2,4,230000
256,257,8791,2,3,207500
257,258,8814,2,3,220000
258,259,12435,2,3,231500
259,260,12702,1,2,97000
260,261,19296,1,3,176000
261,262,9588,2,3,276000
262,263,8471,1,3,151000
263,264,5500,1,3,130000
264,265,5232,1,2,73000
265,266,12090,2,3,175500
266,267,11207,2,3,185000
267,268,8400,2,4,179500
268,269,6900,1,2,120500
269,270,7917,1,3,148000
270,271,10728,2,3,266000
271,272,39104,1,2,241500
272,273,11764,2,4,290000
273,274,9600,2,3,139000
274,275,8314,1,2,124500
275,276,7264,2,3,205000
276,277,9196,2,3,201000
277,278,19138,1,2,141000
278,279,14450,2,3,415298
279,280,10005,2,4,192000
280,281,11287,2,3,228500
281,282,7200,2,2,185000
282,283,5063,2,2,207500
283,284,9612,2,3,244600
284,285,8012,2,2,179200
285,286,4251,2,2,164700
286,287,9786,1,3,159000
287,288,8125,1,3,88000
288,289,9819,1,3,122000
289,290,8730,1,3,153575
290,291,15611,2,3,233230
291,292,5687,2,6,135900
292,293,11409,1,3,131000
293,294,16659,2,3,235000
294,295,9600,1,3,167000
295,296,7937,1,3,142500
296,297,13710,1,4,152000
297,298,7399,2,3,239000
298,299,11700,1,3,175000
299,300,14000,1,3,158500
300,301,15750,1,2,157000
301,302,16226,2,4,267000
302,303,13704,2,3,205000
303,304,9800,1,3,149900
304,305,18386,3,3,295000
305,306,10386,2,3,305900
306,307,13474,2,4,225000
307,308,7920,1,3,89500
308,309,12342,1,1,82500
309,310,12378,2,3,360000
310,311,7685,2,3,165600
311,312,8000,1,2,132000
312,313,7800,1,3,119900
313,314,215245,2,3,375000
314,315,9600,1,3,178000
315,316,7795,2,3,188500
316,317,13005,2,4,260000
317,318,9000,2,3,270000
318,319,9900,2,4,260000
319,320,14115,2,3,187500
320,321,16259,3,4,342643
321,322,12099,2,4,354000
322,323,10380,2,4,301000
323,324,5820,1,3,126175
324,325,11275,2,5,242000
325,326,5000,1,2,87000
326,327,10846,1,1,324000
327,328,11600,1,3,145250
328,329,11888,2,5,214500
329,330,6402,1,3,78000
330,331,10624,2,6,119000
331,332,8176,1,3,139000
332,333,10655,2,3,284000
333,334,8198,2,2,207000
334,335,9042,2,3,192000
335,336,164660,2,3,228950
336,337,14157,2,3,377426
337,338,9135,2,3,214000
338,339,14145,2,3,202500
339,340,12400,1,3,155000
340,341,14191,2,4,202900
341,342,8400,1,2,82000
342,343,8544,2,2,87500
343,344,8849,2,2,266000
344,345,2592,1,3,85000
345,346,6435,1,3,140200
346,347,12772,1,2,151500
347,348,17600,2,3,157500
348,349,2448,2,2,154000
349,350,20431,2,4,437154
350,351,7820,2,2,318061
351,352,5271,1,2,190000
352,353,9084,1,3,95000
353,354,8520,1,2,105900
354,355,8400,1,2,140000
355,356,11249,2,3,177500
356,357,9248,2,3,173000
357,358,4224,1,3,134000
358,359,6930,1,3,130000
359,360,12011,2,3,280000
360,361,7540,1,2,156000
361,362,9144,1,3,145000
362,363,7301,3,4,198500
363,364,1680,1,2,118000
364,365,18800,2,3,190000
365,366,10690,1,3,147000
366,367,9500,1,3,159000
367,368,9150,1,3,165000
368,369,7800,1,2,132000
369,370,9830,1,3,162000
370,371,8121,2,3,172400
371,372,17120,2,4,134432
372,373,7175,1,2,125000
373,374,10634,1,3,123000
374,375,8200,2,4,219500
375,376,10020,0,1,61000
376,377,8846,1,2,148000
377,378,11143,3,4,340000
378,379,11394,1,1,394432
379,380,8123,2,3,179000
380,381,5000,2,3,127000
381,382,7200,2,2,187750
382,383,9245,2,3,213500
383,384,9000,1,2,76000
384,385,53107,2,3,240000
385,386,3182,2,2,192000
386,387,8410,1,5,81000
387,388,7200,1,3,125000
388,389,9382,2,3,191000
389,390,12474,2,3,426000
390,391,8405,1,4,119000
391,392,12209,2,3,215000
392,393,8339,1,3,106500
393,394,7446,1,2,100000
394,395,10134,1,2,109000
395,396,9571,1,3,129000
396,397,7200,1,2,123000
397,398,7590,2,4,169500
398,399,8967,1,2,67000
399,400,8125,2,2,241000
400,401,14963,1,1,245500
401,402,8767,2,3,164990
402,403,10200,1,2,108000
403,404,12090,2,4,258000
404,405,10364,2,3,168000
405,406,9991,2,3,150000
406,407,10480,1,3,115000
407,408,15576,2,4,177000
408,409,14154,2,3,280000
409,410,10800,2,3,339750
410,411,9571,1,3,60000
411,412,34650,1,3,145000
412,413,4403,2,2,222000
413,414,8960,1,2,115000
414,415,11228,2,3,228000
415,416,8899,2,3,181134
416,417,7844,1,3,149500
417,418,22420,2,4,239000
418,419,8160,1,3,126000
419,420,8450,1,3,142000
420,421,7060,2,2,206300
421,422,16635,2,3,215000
422,423,21750,1,2,113000
423,424,9200,2,4,315000
424,425,9000,1,2,139000
425,426,3378,1,3,135000
426,427,12800,2,2,275000
427,428,8593,1,3,109008
428,429,6762,2,2,195400
429,430,11457,2,3,175000
430,431,1680,1,2,85400
431,432,5586,1,4,79900
432,433,1920,1,2,122500
433,434,10839,2,3,181000
434,435,1890,1,1,81000
435,436,10667,2,3,212000
436,437,4400,1,2,116000
437,438,6000,1,2,119000
438,439,4280,1,2,90350
439,440,12354,1,3,110000
440,441,15431,2,2,555000
441,442,12108,2,4,118000
442,443,6240,2,3,162900
443,444,3922,2,2,172500
444,445,8750,2,4,210000
445,446,9855,1,3,127500
446,447,16492,2,2,190000
447,448,11214,2,4,199900
448,449,8600,2,3,119500
449,450,6000,1,2,120000
450,451,5684,1,2,110000
451,452,70761,2,2,280000
452,453,9303,2,3,204000
453,454,9000,2,3,210000
454,455,9297,2,4,188000
455,456,9600,1,3,175500
456,457,4571,1,4,98000
457,458,53227,1,2,256000
458,459,5100,1,3,161000
459,460,7015,1,3,110000
460,461,8004,2,3,263435
461,462,7200,1,3,155000
462,463,8281,1,3,62383
463,464,11988,1,3,188700
464,465,8430,2,3,124000
465,466,3072,2,2,178740
466,467,10628,1,2,167000
467,468,9480,1,3,146500
468,469,11428,2,3,250000
469,470,9291,2,3,187000
470,471,6820,1,1,212000
471,472,11952,2,3,190000
472,473,3675,1,2,148000
473,474,14977,2,2,440000
474,475,5330,2,2,251000
475,476,8480,1,2,132500
476,477,13125,2,3,208900
477,478,13693,2,3,380000
478,479,10637,2,3,297000
479,480,5925,1,2,89471
480,481,16033,2,3,326000
481,482,11846,2,2,374000
482,483,2500,1,4,155000
483,484,4500,2,2,164000
484,485,7758,1,3,132500
485,486,9600,1,3,147000
486,487,10289,1,3,156000
487,488,12243,2,3,175000
488,489,10800,2,3,160000
489,490,1526,1,1,86000
490,491,2665,1,3,115000
491,492,9490,1,3,133000
492,493,15578,2,3,172785
493,494,7931,1,3,155000
494,495,5784,1,2,91300
495,496,7879,1,2,34900
496,497,12692,3,4,430000
497,498,9120,2,4,184000
498,499,7800,1,3,130000
499,500,7535,1,2,120000
500,501,1890,1,3,113000
501,502,9803,2,3,226700
502,503,9170,1,2,140000
503,504,15602,2,1,289000
504,505,2308,2,3,147000
505,506,7596,2,4,124500
506,507,9554,2,3,215000
507,508,7862,2,2,208300
508,509,9600,2,3,161000
509,510,9600,1,3,124500
510,511,14559,1,2,164900
511,512,6792,2,2,202665
512,513,9100,1,3,129900
513,514,9187,1,3,134000
514,515,10594,1,2,96500
515,516,12220,2,3,402861
516,517,10448,2,3,158000
517,518,10208,2,3,265000
518,519,9531,2,3,211000
519,520,10918,1,3,234000
520,521,10800,2,3,106250
521,522,11988,1,3,150000
522,523,5000,2,3,159000
523,524,40094,3,3,184750
524,525,11787,2,3,315750
525,526,7500,2,3,176000
526,527,13300,1,2,132000
527,528,14948,2,3,446261
528,529,9098,1,2,86000
529,530,32668,3,4,200624
530,531,10200,2,3,175000
531,532,6155,2,3,128000
532,533,7200,1,2,107500
533,534,5000,1,1,39300
534,535,9056,2,3,178000
535,536,7000,1,3,107500
536,537,8924,2,3,188000
537,538,12735,1,3,111250
538,539,11553,1,3,158000
539,540,11423,2,3,272000
540,541,14601,2,2,315000
541,542,11000,2,4,248000
542,543,10140,2,3,213250
543,544,4058,1,1,133000
544,545,17104,2,3,179665
545,546,13837,2,4,229000
546,547,8737,1,3,210000
547,548,7244,1,2,129500
548,549,8235,1,2,125000
549,550,9375,2,4,263000
550,551,4043,2,2,140000
551,552,6000,1,3,112500
552,553,11146,2,3,255500
553,554,8777,2,2,108000
554,555,10625,2,3,284000
555,556,6380,1,2,113000
556,557,14850,1,2,141000
557,558,11040,1,3,108000
558,559,21872,2,3,175000
559,560,3196,2,2,234000
560,561,11341,1,3,121500
561,562,10010,1,2,170000
562,563,13907,1,3,108000
563,564,21780,2,4,185000
564,565,13346,2,4,268000
565,566,6858,1,4,128000
566,567,11198,2,4,325000
567,568,10171,2,3,214000
568,569,12327,1,1,316600
569,570,7032,1,2,135960
570,571,13101,2,6,142600
571,572,7332,1,2,120000
572,573,13159,2,3,224500
573,574,9967,2,3,170000
574,575,10500,1,3,139000
575,576,8480,1,2,118500
576,577,6292,2,3,145000
577,578,11777,1,3,164500
578,579,3604,2,2,146000
579,580,12150,2,4,131500
580,581,14585,1,3,181900
581,582,12704,2,3,253293
582,583,11841,1,3,118500
583,584,13500,3,3,325000
584,585,6120,1,3,133000
585,586,11443,2,2,369900
586,587,10267,1,2,130000
587,588,8740,1,2,137000
588,589,25095,1,1,143000
589,590,9100,1,2,79500
590,591,8320,2,3,185900
591,592,13478,2,3,451950
592,593,6600,1,2,138000
593,594,4435,1,1,140000
594,595,7990,1,3,110000
595,596,11302,2,3,319000
596,597,3600,1,3,114504
597,598,3922,0,2,194201
598,599,12984,2,3,217500
599,600,1950,2,3,151000
600,601,10927,2,3,275000
601,602,9000,1,3,141000
602,603,10041,2,3,220000
603,604,3182,2,2,151000
604,605,12803,2,3,221000
605,606,13600,2,3,205000
606,607,12464,1,3,152000
607,608,7800,3,3,225000
608,609,12168,2,4,359100
609,610,7943,1,3,118500
610,611,11050,2,3,313000
611,612,10395,2,3,148000
612,613,11885,2,3,261500
613,614,8402,1,3,147000
614,615,1491,1,1,75500
615,616,8800,1,3,137500
616,617,7861,2,3,183200
617,618,7227,1,2,105500
618,619,11694,2,3,314813
619,620,12244,2,4,305000
620,621,8248,1,2,67000
621,622,10800,2,4,240000
622,623,7064,1,3,135000
623,624,2117,2,2,168500
624,625,10400,1,4,165150
625,626,10000,1,3,160000
626,627,12342,1,3,139900
627,628,9600,1,3,153000
628,629,11606,1,5,135000
629,630,9020,1,3,168500
630,631,9000,1,3,124000
631,632,4590,2,2,209500
632,633,11900,2,3,82500
633,634,9250,1,3,139400
634,635,6979,0,0,144000
635,636,10896,2,8,200000
636,637,6120,1,1,60000
637,638,6000,2,3,93000
638,639,8777,1,2,85000
639,640,3982,2,1,264561
640,641,12677,1,1,274000
641,642,7050,2,3,226000
642,643,13860,2,4,345000
643,644,10793,2,4,152000
644,645,9187,2,2,370878
645,646,10530,1,3,143250
646,647,7200,1,3,98300
647,648,10452,1,3,155000
648,649,7700,1,4,155000
649,650,1936,1,1,84500
650,651,8125,2,3,205950
651,652,9084,1,4,108000
652,653,8750,2,2,191000
653,654,10320,1,3,135000
654,655,10437,2,2,350000
655,656,1680,1,3,88000
656,657,10007,1,3,145500
657,658,7200,1,3,149000
658,659,17503,1,3,97500
659,660,9937,1,3,167000
660,661,12384,2,3,197900
661,662,46589,2,4,402000
662,663,13560,1,2,110000
663,664,10012,2,3,137500
664,665,20896,1,1,423000
665,666,11194,2,3,230500
666,667,18450,2,3,129000
667,668,8125,2,3,193500
668,669,14175,1,3,168000
669,670,11600,1,2,137500
670,671,8633,2,3,173500
671,672,6629,2,3,103600
672,673,11250,1,3,165000
673,674,14442,2,3,257500
674,675,9200,1,3,140000
675,676,2289,2,3,148500
676,677,9600,2,4,87000
677,678,9022,1,2,109500
678,679,11844,2,3,372500
679,680,9945,1,3,128500
680,681,8012,2,2,143000
681,682,4500,1,3,159434
682,683,2887,1,2,173000
683,684,11248,2,3,285000
684,685,16770,2,4,221000
685,686,5062,2,3,207500
686,687,10207,3,3,227875
687,688,5105,2,2,148800
688,689,8089,2,2,392000
689,690,7577,2,2,194700
690,691,4426,1,1,141000
691,692,21535,3,4,755000
692,693,26178,2,4,335000
693,694,5400,1,2,108480
694,695,6120,1,3,141500
695,696,13811,2,2,176000
696,697,6000,1,2,89000
697,698,6420,1,2,123500
698,699,8450,1,3,138500
699,700,4282,2,2,196000
700,701,14331,2,3,312500
701,702,9600,1,3,140000
702,703,12438,2,4,361919
703,704,7630,2,4,140000
704,705,8400,2,3,213000
705,706,5600,2,3,55000
706,707,115149,2,2,302000
707,708,6240,2,2,254000
708,709,9018,2,3,179540
709,710,7162,1,3,109900
710,711,4130,1,2,52000
711,712,8712,1,2,102776
712,713,4671,2,2,189000
713,714,9873,1,3,129000
714,715,13517,2,3,130500
715,716,10140,2,3,165000
716,717,10800,1,3,159500
717,718,10000,1,3,157000
718,719,10542,2,3,341000
719,720,9920,1,3,128500
720,721,6563,2,2,275000
721,722,4426,1,1,143000
722,723,8120,1,3,124500
723,724,8172,2,4,135000
724,725,13286,2,3,320000
725,726,6960,1,3,120500
726,727,21695,2,3,222000
727,728,7314,2,2,194500
728,729,11475,2,4,110000
729,730,6240,1,2,103000
730,731,5389,2,2,236500
731,732,9590,2,3,187500
732,733,11404,2,3,222500
733,734,10000,1,3,131400
734,735,8978,1,3,108000
735,736,10800,1,2,163000
736,737,8544,2,2,93500
737,738,10463,2,3,239900
738,739,10800,3,3,179000
739,740,9313,2,3,190000
740,741,9600,2,2,132000
741,742,6768,1,3,142000
742,743,8450,2,3,179000
743,744,12886,2,3,175000
744,745,5395,2,2,180000
745,746,8963,3,4,299800
746,747,8795,2,4,236000
747,748,11700,1,4,265979
748,749,10593,2,3,260400
749,750,8405,2,4,98000
750,751,8800,1,3,96500
